Compartment,MP_form,SizeFrac,advection,biofilm,breakup,burial,defouling,degradation,fragmentation,heteroagg,mixing,resusp,rising,sedTransport,settling
Flowing Water,Heteroaggregate,0.1 um,2.6000000000000002e-05,3.858024691358025e-07,2.8639142214099005e-06,0.0,0.0,1.6045073624072808e-10,0.0,0.0,1e-10,0.0,0.0,0.0,1.5925557505326641e-24
Flowing Water,Heteroaggregate,1 um,2.6000000000000002e-05,3.858024691358025e-07,4.258401353516199e-06,0.0,0.0,1.6045073624072808e-10,0.0,0.0,1e-10,0.0,0.0,0.0,2.713963245406021e-25
Flowing Water,Heteroaggregate,10 um,2.6000000000000002e-05,3.858024691358025e-07,0.000478481712159296,0.0,0.0,1.6045073624072808e-10,0.0,0.0,1e-10,0.0,0.0,0.0,0.0
Flowing Water,Heteroaggregate,100 um,2.6000000000000002e-05,3.858024691358025e-07,5.5599999999999996e-05,0.0,0.0,1.6045073624072808e-10,0.0,0.0,1e-10,0.0,0.0,0.0,0.0
Flowing Water,Heteroaggregate,1000 um,2.6000000000000002e-05,3.858024691358025e-07,5.5599999999999996e-05,0.0,0.0,1.6045073624072808e-10,0.0,0.0,1e-10,0.0,0.0,0.0,0.0
Flowing Water,Pristine,0.1 um,2.6000000000000002e-05,3.858024691358025e-07,0.0,0.0,0.0,1.6045073624072808e-09,3.1709791983764588e-12,4.556187747221937e-05,1e-10,0.0,0.0,0.0,0.0
Flowing Water,Pristine,1 um,2.6000000000000002e-05,3.858024691358025e-07,0.0,0.0,0.0,1.6045073624072808e-09,3.1709791983764586e-11,4.140236421405342e-05,1e-10,0.0,0.0,0.0,0.0
Flowing Water,Pristine,10 um,2.6000000000000002e-05,3.858024691358025e-07,0.0,0.0,0.0,1.6045073624072808e-09,3.170979198376459e-10,0.000556,1e-10,0.0,0.0,0.0,0.0
Flowing Water,Pristine,100 um,2.6000000000000002e-05,3.858024691358025e-07,0.0,0.0,0.0,1.6045073624072808e-09,3.1709791983764586e-09,0.000556,1e-10,0.0,0.0,0.0,0.0
Flowing Water,Pristine,1000 um,2.6000000000000002e-05,3.858024691358025e-07,0.0,0.0,0.0,1.6045073624072808e-09,3.1709791983764586e-08,0.000556,1e-10,0.0,0.0,0.0,0.0
Sediment,Biof&Heteroagg,0.1 um,0.0,0.0,0.0,2.7999999999999996e-05,0.0,8.022536812036404e-11,0.0,0.0,0.0,1.1499999999999998e-05,0.0,9.999999999999998e-08,0.0
